month_lag,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11
2020-01,0.47,0.47,0.49,0.49,0.5,0.5,0.5,0.51,0.5,0.52,0.52
2020-02,0.47,0.48,0.49,0.48,0.49,0.49,0.5,0.5,0.5,0.51,0.51
2020-03,0.49,0.49,0.51,0.52,0.52,0.52,0.53,0.53,0.52,0.54,0.53
2020-04,0.47,0.47,0.49,0.48,0.49,0.5,0.51,0.5,0.49,0.48,0.48
2020-05,0.46,0.46,0.48,0.48,0.49,0.49,0.5,0.5,0.48,0.47,0.47
2020-06,0.43,0.43,0.45,0.47,0.47,0.48,0.48,0.48,0.46,0.47,0.46
2020-07,0.41,0.41,0.41,0.44,0.44,0.44,0.46,0.46,0.44,0.45,0.44
2020-08,0.42,0.43,0.43,0.45,0.46,0.46,0.48,0.48,0.46,0.46,0.45
2020-09,0.43,0.44,0.44,0.45,0.46,0.46,0.47,0.47,0.46,0.47,0.46
2020-10,0.44,0.45,0.45,0.46,0.46,0.46,0.47,0.47,0.46,0.48,0.47
2020-11,0.43,0.43,0.44,0.44,0.44,0.45,0.45,0.45,0.44,0.45,0.45
