month_lag,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11
2020-01,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.21,0.21,0.23,0.24
2020-02,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.2,0.21,0.21
2020-03,0.2,0.2,0.2,0.19,0.19,0.2,0.2,0.2,0.2,0.21,0.2
2020-04,0.18,0.17,0.18,0.19,0.18,0.19,0.19,0.19,0.19,0.19,0.18
2020-05,0.18,0.18,0.18,0.19,0.18,0.18,0.19,0.18,0.18,0.19,0.18
2020-06,0.18,0.18,0.19,0.19,0.18,0.19,0.2,0.19,0.19,0.2,0.19
2020-07,0.19,0.19,0.19,0.2,0.19,0.19,0.2,0.19,0.2,0.21,0.19
2020-08,0.2,0.2,0.19,0.2,0.2,0.2,0.2,0.21,0.21,0.21,0.2
2020-09,0.22,0.21,0.19,0.21,0.2,0.21,0.2,0.2,0.21,0.21,0.21
2020-10,0.21,0.2,0.21,0.2,0.19,0.19,0.2,0.2,0.2,0.21,0.19
2020-11,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.21,0.2,0.2
