month_lag,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11
2020-01,0.34,0.34,0.35,0.34,0.35,0.35,0.35,0.35,0.35,0.36,0.36
2020-02,0.35,0.34,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.36,0.36
2020-03,0.33,0.32,0.34,0.34,0.33,0.34,0.34,0.33,0.33,0.34,0.34
2020-04,0.27,0.26,0.27,0.26,0.27,0.27,0.27,0.28,0.27,0.28,0.27
2020-05,0.27,0.27,0.26,0.27,0.27,0.28,0.28,0.28,0.27,0.27,0.27
2020-06,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.29,0.29,0.29
2020-07,0.3,0.3,0.32,0.31,0.31,0.32,0.31,0.32,0.31,0.32,0.32
2020-08,0.31,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.32,0.32
2020-09,0.32,0.31,0.32,0.33,0.31,0.32,0.32,0.32,0.31,0.33,0.32
2020-10,0.31,0.3,0.31,0.33,0.32,0.32,0.31,0.32,0.31,0.32,0.32
2020-11,0.29,0.3,0.3,0.3,0.3,0.29,0.29,0.3,0.29,0.3,0.3
