month_lag,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11
2020-01,0.12,0.13,0.13,0.13,0.12,0.13,0.14,0.14,0.14,0.12,0.13
2020-02,0.13,0.12,0.14,0.13,0.14,0.14,0.13,0.13,0.14,0.14,0.13
2020-03,0.12,0.13,0.14,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.13
2020-04,0.1,0.1,0.11,0.12,0.1,0.11,0.1,0.1,0.1,0.11,0.11
2020-05,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.12,0.12,0.11,0.1
2020-06,0.09,0.12,0.11,0.12,0.11,0.11,0.12,0.13,0.12,0.11,0.11
2020-07,0.12,0.11,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.13,0.12
2020-08,0.12,0.12,0.14,0.14,0.12,0.12,0.13,0.13,0.12,0.12,0.12
2020-09,0.12,0.12,0.14,0.12,0.13,0.13,0.13,0.12,0.12,0.13,0.12
2020-10,0.1,0.12,0.13,0.13,0.11,0.11,0.12,0.12,0.11,0.11,0.11
2020-11,0.11,0.11,0.13,0.12,0.12,0.13,0.13,0.11,0.13,0.12,0.11
