month_lag,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11
2020-01,0.57,0.56,0.58,0.57,0.57,0.58,0.57,0.58,0.58,0.59,0.59
2020-02,0.57,0.57,0.58,0.58,0.58,0.58,0.58,0.59,0.59,0.6,0.59
2020-03,0.55,0.55,0.56,0.57,0.56,0.56,0.56,0.56,0.57,0.57,0.57
2020-04,0.48,0.48,0.48,0.48,0.48,0.49,0.49,0.49,0.49,0.49,0.49
2020-05,0.49,0.49,0.5,0.5,0.5,0.5,0.5,0.5,0.51,0.51,0.51
2020-06,0.5,0.5,0.51,0.51,0.51,0.52,0.52,0.51,0.51,0.52,0.52
2020-07,0.53,0.53,0.55,0.54,0.54,0.54,0.54,0.54,0.54,0.55,0.55
2020-08,0.53,0.53,0.54,0.54,0.53,0.54,0.53,0.54,0.54,0.55,0.54
2020-09,0.52,0.52,0.54,0.53,0.53,0.54,0.53,0.54,0.54,0.54,0.54
2020-10,0.53,0.53,0.55,0.54,0.54,0.54,0.53,0.55,0.55,0.55,0.55
2020-11,0.52,0.52,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.54,0.54
