month_lag,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11
2020-01,0.34,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.35,0.38,0.37
2020-02,0.35,0.36,0.37,0.35,0.35,0.36,0.35,0.33,0.35,0.38,0.38
2020-03,0.33,0.34,0.34,0.33,0.33,0.33,0.31,0.33,0.33,0.35,0.35
2020-04,0.22,0.23,0.23,0.22,0.23,0.23,0.24,0.21,0.21,0.23,0.23
2020-05,0.21,0.21,0.23,0.21,0.21,0.21,0.21,0.21,0.21,0.22,0.22
2020-06,0.25,0.26,0.26,0.26,0.24,0.26,0.25,0.24,0.25,0.27,0.25
2020-07,0.28,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.3,0.3,0.3
2020-08,0.3,0.3,0.3,0.31,0.3,0.31,0.3,0.29,0.3,0.33,0.32
2020-09,0.31,0.32,0.32,0.31,0.3,0.31,0.32,0.3,0.32,0.33,0.32
2020-10,0.33,0.34,0.34,0.32,0.31,0.33,0.32,0.32,0.32,0.34,0.34
2020-11,0.31,0.31,0.32,0.3,0.3,0.3,0.3,0.29,0.3,0.33,0.33
