lsoa_code,traj,traj_titles
E01000001,B,"N = 8,124 (26%)"
E01000002,B,"N = 8,124 (26%)"
E01000003,A,"N = 23,924 (72%)"
E01000005,B,"N = 8,124 (26%)"
E01000006,A,"N = 23,924 (72%)"
E01000007,C,"N = 5,664 (3%)"
E01000008,B,"N = 8,124 (26%)"
E01000009,B,"N = 8,124 (26%)"
E01000010,D,N = 83 (0.25%)
E01000011,A,"N = 23,924 (72%)"
E01000012,A,"N = 23,924 (72%)"
E01000013,B,"N = 8,124 (26%)"
E01000014,A,"N = 23,924 (72%)"
E01000015,A,"N = 23,924 (72%)"
E01000016,A,"N = 23,924 (72%)"
E01000017,A,"N = 23,924 (72%)"
E01000018,A,"N = 23,924 (72%)"
E01000019,A,"N = 23,924 (72%)"
E01000020,A,"N = 23,924 (72%)"
E01000021,B,"N = 8,124 (26%)"
E01000022,A,"N = 23,924 (72%)"
E01000023,B,"N = 8,124 (26%)"
E01000024,A,"N = 23,924 (72%)"
E01000025,A,"N = 23,924 (72%)"
E01000027,B,"N = 8,124 (26%)"
E01000028,A,"N = 23,924 (72%)"
E01000029,B,"N = 8,124 (26%)"
E01000030,A,"N = 23,924 (72%)"
E01000031,A,"N = 23,924 (72%)"
E01000032,B,"N = 8,124 (26%)"
E01000033,A,"N = 23,924 (72%)"
E01000034,A,"N = 23,924 (72%)"
E01000035,A,"N = 23,924 (72%)"
E01000036,A,"N = 23,924 (72%)"
E01000037,A,"N = 23,924 (72%)"
E01000038,A,"N = 23,924 (72%)"
E01000039,A,"N = 23,924 (72%)"
E01000040,A,"N = 23,924 (72%)"
E01000041,A,"N = 23,924 (72%)"
E01000042,B,"N = 8,124 (26%)"
E01000043,A,"N = 23,924 (72%)"
E01000044,A,"N = 23,924 (72%)"
E01000045,B,"N = 8,124 (26%)"
E01000046,A,"N = 23,924 (72%)"
E01000048,A,"N = 23,924 (72%)"
E01000049,B,"N = 8,124 (26%)"
E01000050,B,"N = 8,124 (26%)"
E01000051,A,"N = 23,924 (72%)"
E01000052,A,"N = 23,924 (72%)"
E01000053,A,"N = 23,924 (72%)"
E01000054,A,"N = 23,924 (72%)"
E01000055,A,"N = 23,924 (72%)"
E01000056,A,"N = 23,924 (72%)"
E01000057,A,"N = 23,924 (72%)"
E01000058,A,"N = 23,924 (72%)"
E01000059,A,"N = 23,924 (72%)"
E01000060,B,"N = 8,124 (26%)"
E01000061,B,"N = 8,124 (26%)"
E01000062,B,"N = 8,124 (26%)"
E01000063,A,"N = 23,924 (72%)"
E01000064,B,"N = 8,124 (26%)"
E01000065,A,"N = 23,924 (72%)"
E01000066,B,"N = 8,124 (26%)"
E01000067,A,"N = 23,924 (72%)"
E01000068,A,"N = 23,924 (72%)"
E01000069,A,"N = 23,924 (72%)"
E01000070,B,"N = 8,124 (26%)"
E01000071,A,"N = 23,924 (72%)"
E01000072,B,"N = 8,124 (26%)"
E01000073,A,"N = 23,924 (72%)"
E01000074,A,"N = 23,924 (72%)"
E01000075,B,"N = 8,124 (26%)"
E01000076,A,"N = 23,924 (72%)"
E01000077,B,"N = 8,124 (26%)"
E01000078,A,"N = 23,924 (72%)"
E01000079,A,"N = 23,924 (72%)"
E01000080,A,"N = 23,924 (72%)"
E01000081,A,"N = 23,924 (72%)"
E01000082,B,"N = 8,124 (26%)"
E01000083,A,"N = 23,924 (72%)"
E01000084,A,"N = 23,924 (72%)"
E01000085,A,"N = 23,924 (72%)"
E01000086,A,"N = 23,924 (72%)"
E01000087,A,"N = 23,924 (72%)"
E01000088,A,"N = 23,924 (72%)"
E01000089,A,"N = 23,924 (72%)"
E01000090,B,"N = 8,124 (26%)"
E01000091,A,"N = 23,924 (72%)"
E01000092,C,"N = 5,664 (3%)"
E01000093,B,"N = 8,124 (26%)"
E01000094,A,"N = 23,924 (72%)"
E01000095,B,"N = 8,124 (26%)"
E01000096,B,"N = 8,124 (26%)"
E01000097,A,"N = 23,924 (72%)"
E01000098,B,"N = 8,124 (26%)"
E01000099,A,"N = 23,924 (72%)"
E01000100,A,"N = 23,924 (72%)"
E01000101,A,"N = 23,924 (72%)"
E01000102,A,"N = 23,924 (72%)"
